Translation of English phrases into other languages
English                                                           Spanish                                                                 German                                                                     French                                                                       Japanese                                                        Russian                                                   Korean                                                               Greek                                                                     Polish                                                             Portugese                                                              Chinese (simplified)-                     Arabic
anything else                                                     algo más                                                                noch etwas                                                                 rien d'autre                                                                 他に何か                                                        что-нибудь еще                                            무엇                                                                 οτιδήποτε άλλο                                                            wszystko inne                                                      algo mais                                                              还要别的吗                                أي شيء آخر
are there any concerts                                            ¿hay conciertos                                                         gibt es irgendwelche Konzerte                                              y at-il des concerts                                                         すべてのコンサートがあります                                    есть ли концерты                                          어떤 콘서트가있다                                                    είναι οποιαδήποτε συναυλίες εκεί                                          czy są jakieś koncerty                                             existem concertos                                                      还有什么音乐会                            هل هناك أي حفلات
are they coming this evening                                      están viniendo esta noche                                               kommen sie heute Abend                                                     viennent-ils ce soir                                                         彼らはこの夜を来ている                                          они приходят в этот вечер                                 그들은 오늘 저녁오고있다                                             είναι αυτοί που έρχονται απόψε                                            są nadchodzi ten wieczór                                           eles estão vindo esta noite                                            他们在未来今晚                            هم القادمة هذا المساء
are they the same                                                 ¿Son lo mismo                                                           sie sind die gleichen                                                      sont-ils les mêmes                                                           彼らに同じである                                                они же                                                    그들에게 동일                                                        Είναι η ίδια                                                              są takie same                                                      são elas a mesma                                                       他们是相同的                              هم نفس
are you afraid                                                    tienes miedo                                                            haben Sie Angst                                                            avez-vous peur                                                               あなたが恐れてい                                                Вы боитесь                                                당신이 두려워                                                        φοβάστε                                                                   boisz                                                              você tem medo                                                          你怕                                      هل أنت خائف
are you allergic to anything                                      es usted alérgico a algo                                                sind Sie allergisch auf alles,                                             sind Sie allergisch auf alles,                                               あなたは何にアレルギーがある                                    У Вас аллергия на что-нибудь                              당신은 아무것도에 알레르기가                                         είστε αλλεργικοί σε κάτι                                                  teś na coś uczulony                                                Você é alérgico a alguma coisa                                         你对什么过敏                              أنت حساسية من أي شيء
are you american                                                  ¿eres americano                                                         Sie sind Amerikaner                                                        Sie sind Amerikaner                                                          あなたはアメリカ人です                                          Вы американского                                          당신은 미국이다                                                      είσαι Αμερικανός                                                          jesteś amerykański                                                 você está americano                                                    你是美国人                                هل أنت الأمريكية
are you busy                                                      estás ocupado                                                           bist du beschäftigt                                                        bist du beschäftigt                                                          あなたは忙しいですか                                            ты занят                                                  당신은 바쁘다                                                        είσαι απασχολημένος                                                       jesteś zajęty                                                      você está ocupado                                                      你忙吗                                    هل أنت مشغول
are you comfortable                                               se siente cómodo                                                        Sie sind komfortabel                                                       Sie sind komfortabel                                                         あなたが快適である                                              вы можете                                                 당신은 편안                                                          είστε άνετα                                                               są komfortowe                                                      você está confortável                                                  你舒服                                    أنت مريحة
are you coming this evening                                       ¿vienes esta noche                                                      Kommst du heute Abend                                                      Kommst du heute Abend                                                        あなたはこの夜を来ている                                        Вы приезжаете в этот вечер                                당신은 오늘 저녁오고있다                                             θα έρθεις απόψε                                                           idziesz dziś wieczorem                                             você está vindo esta noite                                             你来今晚                                  وأنت قادم هذا المساء
are you free tonight                                              ¿Estás libre esta noche                                                 Sie sind heute Abend frei                                                  Sie sind heute Abend frei                                                    あなたは無料で今夜です                                          Вы бесплатно сегодня                                      당신은 무료로 오늘 밤                                                είσαι ελεύθερη απόψε                                                      jesteś wolny dziś wieczorem                                        você está livre hoje à noite                                           你今晚有空                                هل أنت هذه الليلة المجانية
are you going to attend their wedding                             vas a asistir a su boda                                                 wollen Sie ihre Hochzeit zu besuchen                                       wollen Sie ihre Hochzeit zu besuchen                                         あなたは彼らの結婚式に出席しようとしている                      Вы собираетесь присутствовать на их свадьбе               당신은 자신의 결혼식에 참석 예정                                     θα πας να παρευρεθούν στον γάμο τους                                      idziesz do udziału ślub            -                               você vai assistir a seu casamento                                      你去参加他们的婚礼                        أنت ذاهب لحضور زفافهما
are you going to help her                                         vas a ayudarla                                                          wirst du ihr helfen                                                        wirst du ihr helfen                                                          あなたは彼女を助けるためにしようとしている                      Вы собираетесь помочь ей                                  당신은 그녀를 도울 예정                                              θα πας να την βοηθήσει                                                    masz zamiar jej pomóc                                              você vai ajudá-la                                                      你要帮她                                  أنت ذاهب لمساعدتها
are you going to take a plane or train                            vas a tomar un avión o en tren                                          wollen Sie, um ein Flugzeug oder Zug                                       wollen Sie, um ein Flugzeug oder Zug                                         あなたが飛行機や電車に乗るしようとしている                      Вы собираетесь сесть на самолет или поезд                 당신은 비행기 나 기차를 타고가는                                     θα πας να πάρετε ένα αεροπλάνο ή τρένο                                    idziesz do podjęcia samolotem lub pociągiem-                       você vai pegar um avião ou trem                                        你要乘坐飞机或火车                        انت ذاهب لتأخذ الطائرة أو القطار
are you here alone                                                estás aquí solo                                                         Sie sind hier allein                                                       Sie sind hier allein                                                         一人でここにある                                                ты здесь один                                             혼자 지내                                                            είσαι μόνος εδώ                                                           jesteś tutaj sam                                                   você está aqui sozinho                                                 你一个人在这儿                            أنت هنا وحدها
are you hungry                                                    tienes hambre                                                           bist du hungrig                                                            bist du hungrig                                                              お腹hあすきましたか                                             вы голодны                                                배고프                                                               είστε πεινασμένοι                                                         jesteś głodny                                                      está com fome                                                          你饿了吗                                  هل أنت جائع
are you married                                                   estás casado                                                            sind sie verheiratet                                                       sind sie verheiratet                                                         あなたは結婚していますか                                        вы женаты                                                 결혼 했어요                                                          Είστε παντρεμένος;                                                        Czy jest Pan żonaty                                                você é casado                                                          您结婚了吗                                هل أنت متزوج
are you o k                                                       estás bien                                                              Sie sind o k                                                               Sie sind o k                                                                 大丈夫ですか                                                    ты в порядке                                              당신 오 K입니다                                                      είσαι o k                                                                 jesteś o k                                                         você está bem                                                          你还好吗                                  هل أنت بخير
are you ready                                                     estás listo                                                             sind sie bereit                                                            sind sie bereit                                                              準備はできたか                                                  вы готовы                                                 당신은 준비가                                                        είστε έτοιμοι                                                             jesteś gotowy                                                      você está pronto                                                       你准备好了吗                              هل أنت مستعد
are you sick                                                      ¿Está usted enfermo                                                     bist du krank                                                              bist du krank                                                                あなたが病気である                                              Вы больны                                                 당신은 아픈                                                          είστε άρρωστοι                                                            jesteś chory                                                       você está doente                                                       你生病                                    هل أنت مريض
are you sure                                                      estás seguro                                                            bist du sicher                                                             bist du sicher                                                               本気ですか                                                      вы уверены                                                당신은 확신                                                          είσαι σίγουρος                                                            są na pewno                                                        você tem certeza                                                       你确定吗                                  هل أنت متأكد
are you waiting for someone                                       estás esperando a alguien                                               warten Sie noch jemand                                                     warten Sie noch jemand                                                       あなたが誰かを待っている                                        Вы ждете кого-то                                          당신은 사람을 기다리고 있습니다                                      Σας περιμένουμε για κάποιον                                               czekasz na kogoś                                                   que você está esperando para alguém                                    你在等人                                  تنتظرون شخص
are you working today                                             estás trabajando hoy                                                    arbeiten Sie heute                                                         arbeiten Sie heute                                                           あなたは今日働いている                                          вы работаете сегодня                                      오늘 작업                                                            είστε σήμερα εργάζονται                                                   masz już działa                                                    você está trabalhando hoje                                             你今天工作                                أنت تعمل اليوم
are you working tomorrow                                          estás trabajando mañana                                                 arbeiten Sie morgen                                                        vous travaillez demain                                                       あなたは明日作業している                                        Вы работаете завтра-                                      내일 작업                                                            Οι αύριο εργασίας                                                         ty jutro pracy                                                     você está trabalhando amanhã                                           你明天的工作                              أنت تعمل غدا
are your children with you                                        son tus hijos contigo                                                   Ihre Kinder mit Ihnen                                                      sont vos enfants avec vous                                                   あなたの子供はあなたとある                                      Ваши дети с вами                                          귀하의 자녀가 당신과 함께 있습니다                                   είναι τα παιδιά σας μαζί σας                                              są twoje dzieci z tobą                                             são seus filhos com você                                               是你的孩子你                              هم من الأطفال معك
as soon as possible                                               lo antes posible                                                        so schnell wie möglich                                                     dès que possible                                                             できるだけ速やかに                                              как можно скорее                                          조속히                                                               όσο το δυνατόν συντομότερα                                                jak najszybciej                                                    o mais breve possível                                                  尽早                                      في أسرع وقت ممكن
at what time                                                      a qué hora                                                              um wie viel                                                                à quelle heure                                                               何時に                                                          во сколько                                                몇시에                                                               σε ποια χρονική στιγμή                                                    o której godzinie                                                  em que momento                                                         在什么时候                                في أي وقت
at what time did it happen                                        a qué hora sucedió                                                      zu welcher Zeit es passiert                                                à quel moment est-ce arrivé                                                  何時にそれは起こった                                            в какое время это произошло                               어떤 시간에 일어 났는가                                              σε ποια χρονική στιγμή συνέβη                                             w jakim czasie to się stało,                                       em que momento isso aconteceu                                          在什么时候会发生这事                      في وقت ما حدث ذلك
at 3 oclock                                                       a las 3 en punto                                                        bei 3 Uhr                                                                  à 3 oclock                                                                   3時頃に                                                         в 3 часам                                                 3 개의 oclock에서                                                    σε 3 oclock                                                               w 3 oclock                                                         em 3 oclock                                                            在3点钟                                   في 3 كلوك
at 3 oclock in the afternoon                                      a las 3 en punto de la tarde                                            bei 3 Uhr am Nachmittag                                                    à 3 heures du midi                                                           午後3時頃に                                                     в 3 часам пополудни                                       오후에 3 개의 oclock에서                                             στις 3 ώρα το απόγευμα                                                    w 3 oclock w godzinach popołudniowych                              a 3 horas da tarde                                                     下午3点钟，下午                           في 3 كلوك في فترة ما بعد الظهر
at 5th street                                                     en quinta calle                                                         am 5. Straße                                                               au 5ème rue                                                                  第5回ストリートで                                               на 5-м улице                                              5 거리에서                                                           στο 5ο δρόμο                                                              przy 5th ulicy                                                     na 5ª rua                                                              在第5街                                   في الشارع 5
at 7 oclock at night                                              a las 7 en punto en la noche                                            7 oclock nachts                                                            à 7 oclock la nuit                                                           夜の7時頃で、                                                   на 7 часам вечера                                         밤에 7 개의 oclock에서                                               στις 7 oclock τη νύχτα                                                    o 7 oclock w nocy                                                  às 7 oclock à noite                                                    7点钟，晚上                               في 7 كلوك ليلا
be careful                                                        ten cuidado                                                             achtung                                                                    faites attention                                                             注意してください                                                будь осторожен                                            주의                                                                 να είστε προσεκτικοί                                                      być ostrożnym                                                      seja cuidadoso                                                         当心                                      احذر
be careful driving                                                tenga cuidado de conducir                                               seien Sie vorsichtig, Fahr                                                 Soyez prudent de conduire                                                    安全運転であること                                              будьте осторожны вождения                                 안전 운전 할 수                                                      να είναι προσεκτική οδήγηση                                               być ostrożnym jazdy                                                ser condução cuidadosa                                                 要小心驾驶                                تكون القيادة المتأنية
be quiet                                                          silencio                                                                ruhig sein                                                                 soyez silencieux                                                             静かに                                                          тише                                                      조용히                                                               κάτσε ήσυχα                                                               be quiet                                                           fique quieto                                                           安静                                      كن هادئا
behind the bank                                                   detrás del banco                                                        hinter der Bank                                                            derrière la banque                                                           銀行の背後にある                                                за банке                                                  은행 뒤에                                                            πίσω από την τράπεζα                                                      za bank                                                            por trás do banco                                                      银行后面                                  خلف البنك
bring me my shirt please                                          traerme mi camisa por favor                                             bringen Sie mir bitte mein Hemd                                            apportez-moi ma chemise se il vous plaît                                     私に私のシャツを持ってきてください                              Принеси мне мою рубашку, пожалуйста,                      나에게 내 셔츠 좀 가져                                               φέρτε μου το πουκάμισό μου παρακαλώ                                       przynieś mi moją koszulkę prosimy                                  traga-me a minha camisa, por favor                                     给我带来了我的衬衫，请                    أحضر لي قميصي الرجاء
business is good                                                  el negocio es bueno                                                     Geschäft gut                                                               les affaires sont bonnes                                                     ビジネスは良いです                                              бизнес хорош                                              사업은 좋은                                                          των επιχειρήσεων είναι καλό                                               biznes jest dobry                                                  o negócio é bom                                                        生意好                                    العمل جيد
call me                                                           llámame                                                                 ruf mich an                                                                appelez-moi                                                                  電話してね                                                      позвони мне                                               나에게 전화                                                          να μου τηλεφωνήσει                                                        zadzwoń do mnie                                                    me liga                                                                打电话给我                                اتصل بي
call the police                                                   llame a la policía                                                      rufen sie die polizei                                                      appelez la police                                                            警察を呼ぶ                                                      вызовите полицию                                          경찰에 전화                                                          καλέσει την αστυνομία                                                     zadzwoń na policję                                                 chame a polícia                                                        报警                                      اتصل بالشرطة
can I access the internet here??                                  Puedo acceder al Internet aquí ??                                       Kann ich hier auf das Internet zugreifen ??                                Puis-je accéder à Internet ici ??                                            私はここでインターネットにアクセスできますか？                  Здесь можно воспользоваться Интернетом ??                 여기 인터넷에 액세스 할 수 있습니다?                                 μπορώ να έχω πρόσβαση στο διαδίκτυο εδώ ??                                można uzyskać dostęp do Internetu o ??                             Você tem acesso a Internet aqui ??                                     我可以在这里上网吗??                      هل يمكنني الاتصال بالإنترنت هنا ؟؟
can I borrow some money??                                         puedo pedir prestado algo de dinero ??                                  kann ich etwas Geld leihen ??                                              puis-je emprunter de l'argent ??                                             私はいくつかのお金を借りることができますか？                    я могу одолжить деньги ??                                 나는 돈을 빌릴 수 있습니까 ??                                        μπορώ να δανειστώ κάποια χρήματα ??                                       Mogę pożyczyć pieniądze ??                                         pode me emprestar algum dinheiro ??                                    我能借些钱？                              هل أستطيع اقتراض بعض المال ؟؟
can I bring my friend??                                           puedo traer a mi amigo ??                                               kann ich meinen Freund zu bringen ??                                       ce que je peux apporter mon ami ??                                           私は私の友人を持って来ることができる？                          Могу ли я взять друга ??                                  나는 내 친구를 가져올 수있다?                                        μπορώ να φέρω το φίλο μου ??                                              mogę zabrać znajomego ??                                           Eu posso trazer meu amigo ??                                           我可以把我的朋友？                        يمكن أن أحمل بلدي صديق ؟؟
